FoodID,FoodName,Category,Calories,Protein_g,Carbs_g,Fat_g,Fiber_g,GlycemicIndex,GI_Impact,IsVegetarian,IsNonVeg,IsVegan,IsEggetarian,IsJain,IsSouthIndian,IsNorthIndian,IsMediterranean,Allergens,CookingNotes,HealthySubstitutes
1,Rolled Oats (1 cup cooked),Whole Grains,160,6.0,28.0,2.5,4.0,55,Low,True,False,True,False,True,True,True,True,Gluten,Simmer in almond or soy milk for 5 mins; top with chia and berries.,"Steel Cut Oats, Quinoa Porridge"
2,Brown Rice (1 cup cooked),Whole Grains,216,5.0,45.0,1.8,3.5,55,Medium,True,False,True,False,True,True,True,False,None,Soak for 30 mins before steam cooking to reduce phytic acid.,"Cauliflower Rice, Red Rice"
3,Red Rice (1 cup cooked),Whole Grains,205,4.5,44.0,1.6,3.8,52,Low,True,False,True,False,True,True,False,False,None,Pressure cook with 1:3 water ratio for soft texture.,"Brown Rice, Foxtail Millet"
4,Quinoa (1 cup cooked),Whole Grains,222,8.1,39.0,3.6,5.2,53,Low,True,False,True,False,True,False,False,True,None,Rinse under cold water before boiling to remove saponins.,"Amaranth, Brown Rice"
5,Foxtail Millet (Navane),Whole Grains,195,6.0,38.0,2.1,4.5,54,Low,True,False,True,False,True,True,True,False,None,Dry roast lightly before cooking into upma or khichdi.,"Kodo Millet, Little Millet"
6,Finger Millet (Ragi),Whole Grains,200,5.0,42.0,1.3,6.0,54,Low,True,False,True,False,True,True,False,False,None,Whisk with warm water into malt or steam into soft ragi balls.,"Jowar Flour, Bajra"
7,Pearl Millet (Bajra),Whole Grains,210,6.5,40.0,2.5,5.0,55,Medium,True,False,True,False,True,False,True,False,None,Knead into warm roti dough with garlic and green chili.,"Jowar Roti, Missi Roti"
8,Sorghum (Jowar),Whole Grains,190,5.5,41.0,1.5,4.8,50,Low,True,False,True,False,True,True,True,False,None,Use warm water while kneading to make soft gluten-free flatbread.,"Bajra Roti, Ragi Mudde"
9,Steel Cut Oats,Whole Grains,170,7.0,29.0,3.0,5.0,52,Low,True,False,True,False,True,False,False,False,Gluten,Slow cook on low flame for 15 mins for maximum fiber preservation.,"Rolled Oats, Buckwheat"
10,Barley Porridge (1 cup),Whole Grains,193,3.5,44.0,0.7,6.0,28,Low,True,False,True,False,True,False,False,True,Gluten,Boil pearl barley until tender; serve with roasted cinnamon.,"Oats Porridge, Quinoa"
11,Whole Wheat Roti (1 pc),Whole Grains,100,3.0,20.0,0.5,2.5,62,Medium,True,False,True,False,True,True,True,False,"Gluten,Wheat",Puff on direct flame without oil or butter for low calorie count.,"Jowar Roti, Missi Roti"
12,Multigrain Bread (2 slices),Whole Grains,160,8.0,28.0,2.0,4.0,53,Low,True,False,True,False,True,False,False,False,"Gluten,Wheat,Sesame",Toast lightly without butter; spread crushed avocado or peanut butter.,"Sourdough Bread, Gluten-Free Toast"
13,Buckwheat Groats (Kuttu),Whole Grains,155,5.7,33.0,1.0,4.5,45,Low,True,False,True,False,True,False,True,False,None,Boil or make savory khichdi with cumin and green apple.,"Quinoa, Rajgira Amaranth"
14,Amaranth Grain (Rajgira),Whole Grains,250,9.0,46.0,3.8,5.0,35,Low,True,False,True,False,True,True,True,False,None,Pop in a hot dry skillet or boil into protein-packed porridge.,"Quinoa, Buckwheat"
15,Wild Rice (1 cup),Whole Grains,166,6.5,35.0,0.6,3.0,57,Medium,True,False,True,False,True,False,False,False,None,Boil with vegetable broth for a nutty herbal aroma.,"Brown Rice, Black Rice"
16,Bulgur Wheat (1 cup),Whole Grains,151,5.6,34.0,0.4,8.0,48,Low,True,False,True,False,True,False,False,True,"Gluten,Wheat",Steep in boiling water for 12 mins for Tabbouleh salad base.,"Quinoa, Broken Wheat Dalia"
17,Freekeh (1 cup),Whole Grains,170,8.0,32.0,1.0,7.0,43,Low,True,False,True,False,True,False,False,True,"Gluten,Wheat",Simmer in savory herb broth until tender and smoky.,"Bulgur Wheat, Quinoa"
18,Spelt Flakes,Whole Grains,180,6.0,36.0,1.5,5.0,54,Low,True,False,True,False,True,False,False,False,"Gluten,Wheat",Mix with Greek yogurt and berries for breakfast parfait.,"Oats Flakes, Barley Flakes"
19,Ragi Mudde (1 ball),Whole Grains,180,4.0,38.0,1.0,5.5,50,Low,True,False,True,False,True,True,False,False,None,Steam ragi flour paste and roll into smooth warm mudde balls.,"Jowar Roti, Bajra Mudde"
20,Jowar Roti (1 pc),Whole Grains,90,2.8,19.0,0.6,2.8,49,Low,True,False,True,False,True,True,True,False,None,Pat out dough by hand using warm water on tawa.,"Bajra Roti, Ragi Roti"
21,Bajra Roti (1 pc),Whole Grains,110,3.2,21.0,1.2,3.0,52,Low,True,False,True,False,True,False,True,False,None,Cook on cast iron tawa; pair with garlic chutney.,"Jowar Roti, Missi Roti"
22,Broken Wheat Dalia Upma,Whole Grains,210,6.0,38.0,4.0,5.0,54,Low,True,False,True,False,True,True,True,False,"Gluten,Wheat",Saute veggies with mustard seeds and curry leaves before boiling dalia.,"Oats Upma, Millet Upma"
23,Brown Rice Poha,Whole Grains,180,3.5,38.0,1.2,3.0,55,Medium,True,False,True,False,True,True,True,False,None,"Rinse poha lightly; toss with turmeric, peanuts, and lemon juice.","Red Rice Poha, Oats Poha"
24,Cornmeal Polenta,Whole Grains,145,3.0,31.0,1.0,2.5,68,Medium,True,False,True,False,True,False,False,False,Corn,Whisk continuously in warm water or milk until creamy.,"Millet Mash, Mashed Potato"
25,Teff Grain (1 cup),Whole Grains,255,9.8,50.0,1.6,7.0,57,Medium,True,False,True,False,True,False,False,False,None,Cook into porridge or ferment into gluten-free injera flatbread.,"Quinoa, Amaranth"
26,Whole Wheat Pasta,Whole Grains,174,7.5,37.0,0.8,4.3,42,Low,True,False,True,False,True,False,False,True,"Gluten,Wheat","Boil al dente; toss with extra virgin olive oil, garlic, and basil.","Chickpea Pasta, Zucchini Noodles"
27,Chickpea Pasta,Whole Grains,190,14.0,32.0,3.5,6.0,38,Low,True,False,True,False,True,False,False,True,None,High protein gluten-free alternative; boil for 7-9 mins.,"Whole Wheat Pasta, Lentil Pasta"
28,Lentil Pasta,Whole Grains,200,15.0,30.0,2.0,5.5,35,Low,True,False,True,False,True,False,False,True,None,Boil in salted water; pair with homemade marinara sauce.,"Chickpea Pasta, Edamame Pasta"
29,Sourdough Wheat Bread,Whole Grains,140,6.0,26.0,1.0,3.0,53,Low,True,False,True,False,True,False,False,True,"Gluten,Wheat",Fermented sourdough supports gut microbiome health.,"Multigrain Bread, Rye Bread"
30,Rye Bread (2 slices),Whole Grains,166,5.4,31.0,2.0,3.8,48,Low,True,False,True,False,True,False,False,False,Gluten,Dense high-fiber rye bread; top with cottage cheese and cucumber.,"Sourdough Bread, Whole Wheat Toast"
31,Steamed Spinach (1 cup),Vegetables,41,5.3,6.8,0.5,4.3,15,Low,True,False,True,False,True,True,True,True,None,Steam for 3 mins to preserve folate and lutein content.,"Kale, Swiss Chard"
32,Fresh Broccoli (1 cup cooked),Vegetables,55,3.7,11.0,0.6,5.1,15,Low,True,False,True,False,True,True,True,True,None,Lightly steam or roast with olive oil and garlic.,"Cauliflower, Brussels Sprouts"
33,Cauliflower Rice (1 cup),Vegetables,25,2.0,5.0,0.3,2.5,15,Low,True,False,True,False,True,True,True,False,None,Grate cauliflower head; stir-fry on high heat for 4 mins.,"Steamed Cabbage, Broccoli Rice"
34,Steamed Cabbage,Vegetables,34,1.8,8.0,0.1,3.0,15,Low,True,False,True,False,True,True,True,False,None,Shred finely and steam with carom seeds (ajwain).,"Cauliflower Rice, Kale"
35,Raw Cucumber Slices,Vegetables,16,0.7,3.8,0.2,1.0,15,Low,True,False,True,False,True,True,True,True,None,Slice raw; sprinkle with pink Himalayan salt and mint.,"Zucchini Ribbons, Celery Sticks"
36,Roasted Carrots,Vegetables,54,1.2,12.0,0.3,3.4,39,Low,True,False,True,False,False,True,True,True,None,Toss with olive oil and thyme; roast at 200°C for 20 mins.,"Boiled Beetroot, Sweet Potato"
37,Boiled Beetroot,Vegetables,44,1.7,10.0,0.2,2.8,64,Medium,True,False,True,False,False,True,True,False,None,Boil or grate into salad for nitrate boost and stamina.,"Roasted Carrots, Radish"
38,Sautéed Zucchini,Vegetables,27,2.0,4.8,0.4,1.8,15,Low,True,False,True,False,True,False,False,True,None,Spiralize into noodles or sauté with oregano.,"Yellow Squash, Cucumber"
39,Grilled Asparagus,Vegetables,40,4.3,7.0,0.4,3.6,15,Low,True,False,True,False,True,False,False,True,None,Snap off woody ends; grill with olive oil and lemon zest.,"Green Beans, Broccoli"
40,Steamed Kale,Vegetables,36,2.5,7.3,0.5,2.6,15,Low,True,False,True,False,True,False,False,True,None,Massage leaves with olive oil before light steaming.,"Steamed Spinach, Swiss Chard"
41,Sautéed Mushrooms,Vegetables,28,3.1,4.4,0.3,1.2,15,Low,True,False,True,False,True,True,True,True,None,Sauté in dry pan first to release water; finish with herbs.,"Tofu Cubes, Eggplant"
42,Bell Peppers (Red/Green),Vegetables,30,1.2,7.0,0.3,2.5,15,Low,True,False,True,False,True,True,True,True,None,Slice raw into salads or roast into fajita veggies.,"Zucchini, Carrots"
